Product Name,Orders,Total_Sales,Total_Profit,Avg_Profit,Avg_Profit_Ratio,Loss_Making_Orders,Profit_Margin_%,Loss_Rate_%
Adult dog supplies,492,41524.8,3589.2599999999998,7.295243902439024,0.09410569105691056,104,8.643653912842444,21.138211382113823
Baby sweater,207,12229.56,1525.03,7.367294685990338,0.13942028985507246,34,12.470031628284255,16.425120772946862
Bag Boy Beverage Holder,279,21116.55,3173.78,11.375555555555556,0.16426523297491039,40,15.029822579919545,14.336917562724013
Bag Boy M330 Push Cart,69,16637.92,2969.11,43.03057971014493,0.1844927536231884,10,17.84543981459221,14.492753623188406
Bowflex SelectTech 1090 Dumbbells,10,5999.9,1190.78,119.078,0.233,1,19.846664111068517,10.0
Bridgestone e6 Straight Distance NFL Carolina,308,29686.719999999998,3188.77,10.35314935064935,0.1177922077922078,54,10.741402216209808,17.532467532467532
Bridgestone e6 Straight Distance NFL San Dieg,310,28982.94,2019.83,6.51558064516129,0.10929032258064517,59,6.969030747053266,19.032258064516128
Bridgestone e6 Straight Distance NFL Tennesse,257,25751.949999999997,2361.75,9.189688715953308,0.11268482490272373,45,9.171150145911282,17.509727626459142
Brooks Women's Ghost 6 Running Shoe,66,19077.88,2606.85,39.497727272727275,0.11818181818181818,12,13.664254099512105,18.181818181818183
Bushnell Pro X7 Jolt Slope Rangefinder,11,6599.89,-255.94999999999996,-23.268181818181816,-0.02454545454545454,3,-3.8780949379459346,27.27272727272727
CDs of rock,271,3059.5899999999997,383.85,1.4164206642066421,0.13590405904059039,36,12.545798620076548,13.284132841328415
Children's heaters,652,232829.2,27178.1,41.68420245398773,0.12966257668711656,125,11.672977444409891,19.171779141104295
Cleveland Golf Collegiate My Custom Wedge 588,65,13649.35,955.1,14.693846153846154,0.08461538461538462,16,6.9974028067270595,24.615384615384617
Cleveland Golf Women's 588 RTX CB Satin Chrom,70,8399.3,370.61,5.294428571428572,0.052142857142857144,16,4.412391508816212,22.857142857142858
Clicgear 8.0 Shoe Brush,285,8871.12,815.54,2.8615438596491227,0.12571929824561404,47,9.193202211220228,16.49122807017544
Clicgear Rovic Cooler Bag,284,34671.33,2962.96,10.432957746478873,0.09999999999999999,52,8.545850418775396,18.30985915492958
Columbia Men's PFG Anchor Tough T-Shirt,304,27840.0,2454.7999999999997,8.075,0.10661184210526314,58,8.817528735632182,19.078947368421055
DVDs ,483,79395.54,6655.43,13.779358178053831,0.09648033126293996,102,8.382624515180577,21.11801242236025
Dell Laptop,442,663000.0,69656.81,157.594592760181,0.11705882352941177,73,10.506306184012066,16.515837104072396
Diamondback Boys' Insight 24 Performance Hybr,29,8699.710000000001,1730.81,59.68310344827586,0.22551724137931034,2,19.89503098379141,6.896551724137931
Diamondback Girls' Clarity 24 Hybrid Bike 201,28,8399.720000000001,284.41999999999996,10.157857142857141,0.03785714285714286,6,3.3860652497940396,21.428571428571427
Diamondback Women's Serene Classic Comfort Bi,13729,4118425.4200000004,427455.57,31.13522980552116,0.11594726491368636,2590,10.379101875298739,18.865175905018575
ENO Atlas Hammock Straps,323,29930.019999999997,2139.58,6.624086687306502,0.07476780185758514,64,7.148608654454625,19.814241486068113
Elevation Training Mask 2.0,74,18477.69,3299.57,44.58878378378379,0.19405405405405404,13,17.857048148334563,17.56756756756757
Field & Stream Sportsman 16 Gun Fire Safe,17325,6929653.5,756220.76,43.64910591630591,0.12144935064935065,3209,10.912822120182488,18.522366522366525
Fighting video games,838,33310.5,2717.52,3.2428639618138426,0.09169451073985681,181,8.158148331607151,21.599045346062052
First aid kit,362,106080.48000000001,9493.63,26.22549723756906,0.09558011049723757,85,8.949459881780323,23.480662983425415
Fitbit The One Wireless Activity & Sleep Trac,62,18690.65,2088.02,33.67774193548387,0.1132258064516129,10,11.171468086984667,16.129032258064516
Garmin Approach S3 Golf GPS Watch,77,19249.23,2432.33,31.5887012987013,0.13857142857142857,14,12.635985958918877,18.181818181818183
Garmin Approach S4 Golf GPS Watch,36,10799.64,1208.9,33.580555555555556,0.11888888888888889,8,11.193891648240129,22.22222222222222
Garmin Forerunner 910XT GPS Watch,35,13999.65,391.13,11.175142857142857,0.038571428571428576,10,2.7938555606747313,28.57142857142857
Glove It Imperial Golf Towel,302,14870.7,1662.02,5.503377483443709,0.10917218543046357,52,11.176474543901765,17.218543046357617
Glove It Urban Brick Golf Towel,300,14151.15,1563.2,5.210666666666667,0.1286,53,11.04645205513333,17.666666666666668
Glove It Women's Imperial Golf Glove,307,18810.59,2122.95,6.91514657980456,0.1354397394136808,49,11.285929893746022,15.960912052117262
Glove It Women's Mod Oval 3-Zip Carry All Gol,295,20450.7,2257.82,7.653627118644068,0.139864406779661,58,11.0403066887686,19.661016949152543
Glove It Women's Mod Oval Golf Glove,277,16031.98,2406.57,8.687978339350181,0.1671480144404332,41,15.011059145532869,14.801444043321299
GoPro HERO3+ Black Edition Camera,32,12799.68,245.63000000000002,7.675937500000001,0.01499999999999999,5,1.9190323508087703,15.625
GolfBuddy VT3 GPS Watch,59,11799.41,569.0200000000001,9.644406779661018,0.061355932203389835,12,4.822444512056112,20.33898305084746
Hirzl Men's Hybrid Golf Glove,282,12951.36,1175.66,4.169007092198582,0.08117021276595746,62,9.077502285474267,21.98581560283688
Hirzl Women's Hybrid Golf Glove,311,13311.12,1193.24,3.836784565916399,0.11353697749196143,51,8.964234414534614,16.39871382636656
Hirzl Women's Soffft Flex Golf Glove,298,15993.109999999999,1444.25,4.846476510067114,0.09476510067114094,60,9.030451238064392,20.13422818791946
Industrial consumer electronics,431,108991.28,13223.4,30.68074245939675,0.13387470997679812,79,12.132530235446358,18.329466357308586
LIJA Women's Argyle Golf Polo,66,15600.0,1512.43,22.915606060606063,0.09393939393939393,16,9.695064102564103,24.242424242424242
LIJA Women's Button Golf Dress,76,8208.0,1156.6,15.218421052631578,0.15605263157894736,14,14.091130604288498,18.421052631578945
LIJA Women's Eyelet Sleeveless Golf Polo,309,61490.0,6752.33,21.85220064724919,0.1146925566343042,66,10.981183932346724,21.35922330097087
LIJA Women's Mid-Length Panel Golf Shorts,73,22700.0,2984.71,40.88643835616438,0.13808219178082193,15,13.148502202643172,20.54794520547945
Lawn mower,484,257768.72000000003,33443.01,69.09712809917356,0.1425206611570248,82,12.974037346346757,16.94214876033058
MDGolf Pittsburgh Penguins Putter,53,11598.55,1533.14,28.927169811320756,0.19226415094339622,6,13.21837643498541,11.320754716981133
Men's gala suit,208,43856.799999999996,2006.04,9.644423076923077,0.05298076923076923,50,4.574068331478813,24.03846153846154
Merrell Men's All Out Flash Trail Running Sho,85,9349.15,1431.78,16.844470588235293,0.17658823529411766,12,15.314547311787702,14.117647058823529
Merrell Women's Grassbow Sport Hiking Shoe,70,20697.93,1818.65,25.98071428571429,0.10814285714285715,10,8.786627455016033,14.285714285714285
Merrell Women's Grassbow Sport Waterproof Hik,58,7539.42,1029.71,17.753620689655172,0.1493103448275862,7,13.657681890649414,12.068965517241379
Merrell Women's Siren Mid Waterproof Hiking B,70,9449.300000000001,1237.85,17.683571428571426,0.14242857142857143,14,13.099912162805708,20.0
Mio ALPHA Heart Rate Monitor/Sport Watch,67,13333.0,1241.67,18.532388059701493,0.10343283582089552,15,9.312757818945474,22.388059701492537
Nike Dri-FIT Crew Sock 6 Pack,308,19426.0,2145.49,6.965876623376623,0.12402597402597404,60,11.044424997426129,19.480519480519483
